,id,speaker,text,topic,token,polarity,subjectivity,certainty
207,25,DONALD TRUMP,"We are gonna take in billions of dollars, hundreds of billions of dollars",economy,"['be', 'donna', 'take', 'billion', 'dollar', 'hundred', 'billion', 'dollar']",0.0,0.0,0.75
208,25,DONALD TRUMP,"I had no inflation, virtually no inflation, they had the highest inflation, perhaps in the history of our country because I've never seen a worse period of time",economy,"['have', 'no', 'inflation', 'virtually', 'no', 'inflation', 'have', 'the', 'highest', 'inflation', 'perhaps', 'the', 'history', 'country', 'have', 'never', 'see', 'a', 'worse', 'period', 'time']",-0.4,0.6,-0.1875
209,25,DONALD TRUMP,People can't go out and buy cereal bacon or eggs or anything else,economy,"['person', 'ca', 'not', 'go', 'out', 'buy', 'cereal', 'bacon', 'egg', 'anything', 'else']",0.0,0.0,0.0
210,25,DONALD TRUMP,These the people of our country are absolutely dying with what they've done,economy,"['these', 'the', 'person', 'country', 'be', 'absolutely', 'die', 'what', 'have', 'do']",0.2,0.9,1.0
211,25,DONALD TRUMP,They've destroyed the economy and all you have to do it look at a poll,economy,"['have', 'destroy', 'the', 'economy', 'all', 'have', 'do', 'look', 'a', 'poll']",-0.2,0.0,0.75
212,25,DONALD TRUMP,The polls say 80 and 85 and even 90% that the Trump economy was great that their economy was terrible.,economy,"['the', 'poll', 'say', '80', '85', 'even', '90%', 'the', 'tramp', 'economy', 'be', 'great', 'economy', 'be', 'terrible']",-0.09999999999999998,0.875,0.55
213,27,KAMALA HARRIS,"He invited trade wars, you wanna talk about his deal with China what he ended up doing is under Donald Trump's presidency he ended up selling American chips to China to help them improve and modernize their military basically sold us out when a policy about China should be in making sure the United States of America wins the competition for the 21st century",economy,"['invite', 'trade', 'war', 'anna', 'talk', 'deal', 'what', 'end', 'do', 'be', 'donald', 'tramp', 'is', 'presidency', 'end', 'sell', 'american', 'chip', 'help', 'improve', 'modernize', 'military', 'basically', 'sell', 'a', 'policy', 'should', 'be', 'make', 'sure', 'the', 'america', 'win', 'the', 'competition', 'the', 'must', 'century']",0.30000000000000004,0.3472222222222222,0.6388888888888888
214,27,KAMALA HARRIS,"Which means focusing on the details of what that requires, focusing on relationships with our allies, focusing on investing in American based technology so that we win the race on A.I",economy,"['which', 'mean', 'focus', 'the', 'detail', 'what', 'that', 'require', 'focus', 'relationship', 'ally', 'focus', 'investing', 'american', 'base', 'technology', 'so', 'win', 'the', 'race', 'ami']",-0.078125,0.521875,1.0
215,27,KAMALA HARRIS,"and quantum computing, focusing on what we need to do to support America's workforce, so that we don't end up having the on the short end of the stick in terms of workers' rights",economy,"['quantum', 'compute', 'focus', 'what', 'need', 'do', 'support', 'america', 'is', 'workforce', 'so', 'do', 'not', 'end', 'up', 'have', 'the', 'the', 'short', 'end', 'the', 'stick', 'term', 'worker', ""'"", 'right']",0.14285714285714285,0.4178571428571428,1.0
216,27,KAMALA HARRIS,"But what Donald Trump did let's talk about this with COVID, is he actually thanked President XI for what he did during COVID",economy,"['what', 'donald', 'tramp', 'do', 'let', 'is', 'talk', 'this', 'could', 'be', 'actually', 'thank', 'president', 'xi', 'what', 'do', 'could']",0.0,0.1,-0.25
